id 2,time,pm10
CU-S0004,2018-04-24,110.4288732394367
CU-S0004,2018-04-25,57.7647038327526
CU-S0004,2018-04-26,24.574564459930325
CU-S0004,2018-04-27,19.299756097560973
CU-S0004,2018-04-28,19.23269230769231
CU-S0004,2018-04-29,12.253310104529616
CU-S0004,2018-04-30,10.489505300353349
CU-S0004,2018-05-01,10.596840277777765
CU-S0004,2018-05-02,4.4771929824561445
CU-S0004,2018-05-03,7.449652777777775
CU-S0004,2018-05-04,9.181881533101047
CU-S0004,2018-05-05,13.019615384615388
CU-S0004,2018-05-06,17.72754491017963
CU-S0004,2018-05-07,33.324205378973076
CU-S0004,2018-05-08,45.20533101045298
CU-S0004,2018-05-09,51.588028169014116
CU-S0004,2018-05-10,34.088526315789494
CU-S0004,2018-05-11,25.32342657342659
CU-S0004,2018-05-12,24.24285714285713
CU-S0005,2018-02-07,56.30913402467279
CU-S0005,2018-02-08,77.34186046511628
CU-S0005,2018-02-12,43.458716356107644
CU-S0005,2018-02-13,39.847073170731775
CU-S0005,2018-02-14,53.186909722222204
CU-S0005,2018-02-15,54.41493055555555
CU-S0005,2018-02-16,57.74800000000001
CU-S0005,2018-02-19,59.54724696356273
CU-S0005,2018-02-20,61.620350877192955
CU-S0005,2018-02-21,58.53243093922652
CU-S0005,2018-02-22,43.98875
CU-S0005,2018-02-26,30.045460992907806
CU-S0005,2018-02-27,31.570801393728228
CU-S0005,2018-02-28,47.19564459930312
CU-S0005,2018-03-01,50.48680555555556
CU-S0005,2018-03-02,52.12031468531468
CU-S0005,2018-03-03,45.3125
CU-S0005,2018-03-04,58.46562500000002
CU-S0005,2018-03-05,67.07048611111114
CU-S0005,2018-03-06,63.60909407665499
CU-S0005,2018-03-07,91.47351916376304
CU-S0005,2018-03-08,69.70493006993006
CU-S0005,2018-03-09,18.228571428571428
CU-S0005,2018-03-10,33.40138888888888
CU-S0005,2018-03-11,54.60409722222224
CU-S0005,2018-03-12,67.87269230769228
CU-S0005,2018-03-16,76.4443621399177
CU-S0005,2018-03-17,63.39027777777783
CU-S0005,2018-03-18,57.922569444444406
CU-S0005,2018-03-19,59.54351916376307
CU-S0005,2018-03-20,68.08641114982579
CU-S0005,2018-03-21,74.9097222222222
