sensorid,time,pm1
CU-S0002,27-06-18,
CU-S0002,28-06-18,
CU-S0002,29-06-18,
CU-S0002,30-06-18,
CU-S0002,01-07-18,
CU-S0002,02-07-18,
CU-S0002,03-07-18,
CU-S0002,04-07-18,
CU-S0002,05-07-18,
CU-S0002,06-07-18,
CU-S0002,07-07-18,
CU-S0002,08-07-18,
CU-S0002,09-07-18,
CU-S0002,10-07-18,
CU-S0002,11-07-18,
CU-S0002,12-07-18,
CU-S0002,13-07-18,
CU-S0002,14-07-18,
CU-S0002,15-07-18,
CU-S0002,16-07-18,
CU-S0002,17-07-18,
CU-S0002,18-07-18,
CU-S0002,19-07-18,
CU-S0002,20-07-18,
CU-S0002,21-07-18,
CU-S0002,22-07-18,
CU-S0002,23-07-18,
CU-S0002,24-07-18,
CU-S0002,25-07-18,
CU-S0002,26-07-18,
CU-S0002,27-07-18,
CU-S0002,28-07-18,
CU-S0002,29-07-18,
CU-S0002,30-07-18,
CU-S0002,31-07-18,
CU-S0002,01-08-18,
CU-S0002,02-08-18,
CU-S0002,03-08-18,
CU-S0002,04-08-18,
CU-S0002,05-08-18,
CU-S0002,06-08-18,
CU-S0002,07-08-18,
CU-S0002,08-08-18,
CU-S0002,09-08-18,
CU-S0002,10-08-18,
CU-S0002,11-08-18,
CU-S0002,12-08-18,
CU-S0002,13-08-18,
CU-S0002,14-08-18,
CU-S0002,15-08-18,
CU-S0002,16-08-18,
CU-S0002,17-08-18,
CU-S0002,18-08-18,
CU-S0002,19-08-18,
CU-S0002,20-08-18,
CU-S0002,21-08-18,
CU-S0002,22-08-18,
CU-S0002,23-08-18,
CU-S0002,24-08-18,
CU-S0002,25-08-18,
CU-S0002,26-08-18,
CU-S0002,27-08-18,
CU-S0002,28-08-18,
CU-S0002,29-08-18,
CU-S0002,30-08-18,
CU-S0002,31-08-18,
CU-S0002,01-09-18,
CU-S0002,02-09-18,
CU-S0002,03-09-18,
CU-S0002,04-09-18,
CU-S0002,05-09-18,
CU-S0002,06-09-18,
CU-S0002,07-09-18,
CU-S0002,08-09-18,
CU-S0002,09-09-18,
CU-S0002,10-09-18,
CU-S0002,11-09-18,
CU-S0002,12-09-18,
CU-S0002,13-09-18,
CU-S0002,14-09-18,
CU-S0002,15-09-18,
CU-S0002,16-09-18,
CU-S0002,17-09-18,
CU-S0002,18-09-18,
CU-S0002,19-09-18,
CU-S0002,20-09-18,
CU-S0002,21-09-18,
CU-S0002,22-09-18,
CU-S0002,23-09-18,
CU-S0002,24-09-18,
CU-S0002,25-09-18,
CU-S0002,26-09-18,
CU-S0002,27-09-18,
CU-S0002,28-09-18,
CU-S0002,29-09-18,
CU-S0003,31-01-18,
CU-S0003,01-02-18,
CU-S0003,02-02-18,
CU-S0003,03-02-18,
CU-S0003,04-02-18,
CU-S0003,05-02-18,
CU-S0003,06-02-18,
CU-S0003,07-02-18,
CU-S0003,08-02-18,
CU-S0003,09-02-18,
CU-S0003,10-02-18,
CU-S0003,11-02-18,
CU-S0003,12-02-18,
CU-S0003,13-02-18,
CU-S0003,14-02-18,
CU-S0003,15-02-18,40.82795349
CU-S0003,16-02-18,28.8761324
CU-S0003,17-02-18,29.6137931
CU-S0003,18-02-18,48.15538462
CU-S0003,19-02-18,60.09090909
CU-S0003,20-02-18,46.5576875
CU-S0003,21-02-18,43.34356643
CU-S0003,22-02-18,24.13364621
CU-S0003,23-02-18,14.49201439
CU-S0003,24-02-18,20.75659722
CU-S0003,25-02-18,27.1591958
CU-S0003,26-02-18,31.47641026
CU-S0003,27-02-18,24.09616667
CU-S0003,28-02-18,35.78937198
CU-S0003,01-03-18,38.84285714
CU-S0003,02-03-18,38.85270386
CU-S0003,03-03-18,33.09062718
CU-S0003,04-03-18,42.40512195
CU-S0003,05-03-18,61.88618421
CU-S0003,06-03-18,50.92395833
CU-S0003,07-03-18,72.32283217
CU-S0003,08-03-18,56.81923077
CU-S0003,09-03-18,15.8027972
CU-S0003,10-03-18,26.26515679
CU-S0003,11-03-18,40.91199301
CU-S0003,12-03-18,45.15384615
CU-S0003,13-03-18,42.67595819
CU-S0003,14-03-18,50.31695035
CU-S0003,15-03-18,61.87519164
CU-S0003,16-03-18,65.88732394
CU-S0003,17-03-18,53.99662021
CU-S0003,18-03-18,44.36421603
CU-S0003,19-03-18,48.5878125
CU-S0003,20-03-18,58.87788462
CU-S0003,21-03-18,
CU-S0003,22-03-18,57.35384977
CU-S0003,23-03-18,59.56727273
CU-S0003,24-03-18,65.48090278
CU-S0003,25-03-18,61.96550523
CU-S0003,26-03-18,62.23923611
CU-S0003,27-03-18,45.59652778
CU-S0003,28-03-18,45.47735192
CU-S0003,29-03-18,55.99192308
CU-S0003,30-03-18,58.25937282
CU-S0003,31-03-18,34.57291667
CU-S0003,01-04-18,31.86451613
CU-S0003,02-04-18,32.28694779
CU-S0003,03-04-18,25.88807018
CU-S0003,04-04-18,33.51929825
CU-S0003,05-04-18,24.14969697
CU-S0003,06-04-18,22.61867133
CU-S0003,07-04-18,8.660451389
CU-S0003,08-04-18,14.36318182
CU-S0003,09-04-18,14.68210526
CU-S0003,10-04-18,31.21705426
CU-S0003,11-04-18,42.78594595
CU-S0003,12-04-18,62.3625054
CU-S0003,13-04-18,64.37166667
CU-S0003,14-04-18,65.228125
CU-S0003,15-04-18,55.70555944
CU-S0003,16-04-18,20.82291228
CU-S0003,17-04-18,13.99939068
CU-S0003,18-04-18,15.27773852
CU-S0003,19-04-18,23.38320423
CU-S0003,20-04-18,30.40809859
CU-S0003,21-04-18,39.39049296
CU-S0003,22-04-18,51.13568421
CU-S0003,23-04-18,60.2472242
CU-S0003,24-04-18,67.88366197
CU-S0003,25-04-18,37.16059649
CU-S0003,26-04-18,19.68360424
CU-S0003,27-04-18,16.08226148
CU-S0003,28-04-18,16.2097561
CU-S0003,29-04-18,11.60627178
CU-S0003,30-04-18,9.785923345
CU-S0003,01-05-18,13.38191489
CU-S0003,02-05-18,3.353085106
CU-S0003,03-05-18,6.671328671
CU-S0003,04-05-18,8.483710247
CU-S0003,05-05-18,11.855
CU-S0003,06-05-18,24.06718954
CU-S0003,07-05-18,27.87978873
CU-S0003,08-05-18,30.35346154
CU-S0003,09-05-18,33.47347368
CU-S0003,10-05-18,22.92845878
CU-S0003,11-05-18,17.34209964
CU-S0003,12-05-18,12.65479167
CU-S0003,13-05-18,13.77152778
CU-S0003,14-05-18,18.16591549
CU-S0003,15-05-18,16.24573171
CU-S0003,16-05-18,
CU-S0003,17-05-18,
CU-S0003,18-05-18,
CU-S0003,19-05-18,
CU-S0003,20-05-18,6.92704918
CU-S0003,21-05-18,15.06713287
CU-S0003,22-05-18,19.14834951
CU-S0003,23-05-18,11.42498938
CU-S0003,24-05-18,10.49825784
CU-S0003,25-05-18,15.92736842
CU-S0003,26-05-18,9.316923077
CU-S0003,27-05-18,10.87048611
CU-S0003,28-05-18,4.885769231
CU-S0003,29-05-18,7.304861111
CU-S0003,30-05-18,7.574035088
CU-S0003,31-05-18,6.67412844
CU-S0003,01-06-18,9.388461538
CU-S0003,02-06-18,18.03098246
CU-S0003,03-06-18,10.06735192
CU-S0003,04-06-18,11.97757895
CU-S0003,05-06-18,8.528216783
CU-S0003,06-06-18,7.118339223
CU-S0003,07-06-18,8.014
CU-S0003,08-06-18,
CU-S0003,09-06-18,
CU-S0003,10-06-18,
CU-S0003,11-06-18,
CU-S0003,12-06-18,
CU-S0003,13-06-18,
CU-S0003,14-06-18,
CU-S0003,15-06-18,
CU-S0003,16-06-18,
CU-S0003,17-06-18,
CU-S0003,18-06-18,
CU-S0003,19-06-18,
CU-S0003,20-06-18,
CU-S0003,21-06-18,
CU-S0003,22-06-18,
CU-S0003,23-06-18,
CU-S0003,24-06-18,
CU-S0003,25-06-18,
CU-S0003,26-06-18,
CU-S0003,27-06-18,
CU-S0003,28-06-18,
CU-S0003,29-06-18,
CU-S0003,30-06-18,
CU-S0003,01-07-18,
CU-S0003,02-07-18,
CU-S0003,03-07-18,
CU-S0003,04-07-18,
CU-S0003,05-07-18,
CU-S0003,06-07-18,
CU-S0003,07-07-18,
CU-S0003,08-07-18,
CU-S0003,09-07-18,
CU-S0003,10-07-18,
CU-S0003,11-07-18,
CU-S0003,12-07-18,
CU-S0003,13-07-18,
CU-S0003,14-07-18,
CU-S0003,15-07-18,
CU-S0003,16-07-18,
CU-S0003,17-07-18,
CU-S0003,18-07-18,
CU-S0003,19-07-18,
CU-S0003,20-07-18,
CU-S0003,21-07-18,
CU-S0003,22-07-18,
CU-S0003,23-07-18,
CU-S0003,24-07-18,
CU-S0003,25-07-18,
CU-S0003,26-07-18,
CU-S0003,27-07-18,
CU-S0003,28-07-18,
CU-S0003,29-07-18,
CU-S0003,30-07-18,
CU-S0003,31-07-18,
CU-S0003,01-08-18,
CU-S0003,02-08-18,
CU-S0003,03-08-18,
CU-S0003,04-08-18,
CU-S0003,05-08-18,
CU-S0003,06-08-18,
CU-S0003,07-08-18,
CU-S0003,08-08-18,
CU-S0003,09-08-18,
CU-S0003,10-08-18,
CU-S0003,11-08-18,
CU-S0003,12-08-18,
CU-S0003,13-08-18,
CU-S0003,14-08-18,
CU-S0003,15-08-18,
CU-S0003,16-08-18,
CU-S0003,17-08-18,
CU-S0003,18-08-18,
CU-S0003,19-08-18,
CU-S0003,20-08-18,
CU-S0003,21-08-18,
CU-S0003,22-08-18,
CU-S0003,23-08-18,
CU-S0003,24-08-18,
CU-S0003,25-08-18,
CU-S0003,26-08-18,
CU-S0003,27-08-18,
CU-S0003,28-08-18,
CU-S0003,29-08-18,
CU-S0003,30-08-18,
CU-S0003,31-08-18,
CU-S0003,01-09-18,
CU-S0003,02-09-18,
CU-S0003,03-09-18,
CU-S0003,04-09-18,
CU-S0003,05-09-18,
CU-S0003,06-09-18,
CU-S0003,07-09-18,
CU-S0003,08-09-18,
CU-S0003,09-09-18,
CU-S0003,10-09-18,
CU-S0003,11-09-18,
CU-S0003,12-09-18,
CU-S0003,13-09-18,
CU-S0003,14-09-18,
CU-S0003,15-09-18,
CU-S0003,16-09-18,
CU-S0003,17-09-18,
CU-S0003,18-09-18,
CU-S0003,19-09-18,
CU-S0003,20-09-18,
CU-S0003,21-09-18,
CU-S0003,22-09-18,
CU-S0003,23-09-18,
CU-S0003,24-09-18,
CU-S0003,25-09-18,
CU-S0003,26-09-18,
CU-S0003,27-09-18,
CU-S0003,28-09-18,
CU-S0003,29-09-18,
CU-S0004,31-01-18,
CU-S0004,01-02-18,
CU-S0004,02-02-18,
CU-S0004,03-02-18,
CU-S0004,04-02-18,
CU-S0004,05-02-18,
CU-S0004,06-02-18,
CU-S0004,07-02-18,
CU-S0004,08-02-18,
CU-S0004,09-02-18,
CU-S0004,10-02-18,
CU-S0004,11-02-18,
CU-S0004,12-02-18,28.69938326
